No.,Time,Source,Length,Signal strength (dBm),RSSI,Noise level (dBm),Signal/noise ratio (dB),SSID,,,,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB)
12,0.064099,46:b3:2c:81:00:f3,244,-26 dBm,,-85 dBm,59 dB,COMP4336,,,,-26,-85,59
57,1.90747,46:b3:2c:81:00:f3,244,-25 dBm,,-86 dBm,61 dB,COMP4336,,,,-25,-86,61
65,2.214666,46:b3:2c:81:00:f3,244,-26 dBm,,-86 dBm,60 dB,COMP4336,,,,-26,-86,60
114,2.521757,46:b3:2c:81:00:f3,244,-29 dBm,,-86 dBm,57 dB,COMP4336,,,,-29,-86,57
225,4.365076,46:b3:2c:81:00:f3,244,-28 dBm,,-87 dBm,59 dB,COMP4336,,,,-28,-87,59
228,4.672234,46:b3:2c:81:00:f3,244,-29 dBm,,-87 dBm,58 dB,COMP4336,,,,-29,-87,58
239,4.979462,46:b3:2c:81:00:f3,244,-26 dBm,,-87 dBm,61 dB,COMP4336,,,,-26,-87,61
484,5.901089,46:b3:2c:81:00:f3,244,-40 dBm,,-87 dBm,47 dB,COMP4336,,,,-40,-87,47
516,6.208294,46:b3:2c:81:00:f3,244,-38 dBm,,-88 dBm,50 dB,COMP4336,,,,-38,-88,50
521,6.515754,46:b3:2c:81:00:f3,244,-45 dBm,,-88 dBm,43 dB,COMP4336,,,,-45,-88,43
524,6.82269,46:b3:2c:81:00:f3,244,-37 dBm,,-88 dBm,51 dB,COMP4336,,,,-37,-88,51
557,8.358725,46:b3:2c:81:00:f3,244,-39 dBm,,-87 dBm,48 dB,COMP4336,,,,-39,-87,48
570,8.665925,46:b3:2c:81:00:f3,244,-41 dBm,,-87 dBm,46 dB,COMP4336,,,,-41,-87,46
572,8.973108,46:b3:2c:81:00:f3,244,-47 dBm,,-87 dBm,40 dB,COMP4336,,,,-47,-87,40
595,10.816329,46:b3:2c:81:00:f3,244,-40 dBm,,-88 dBm,48 dB,COMP4336,,,,-40,-88,48
596,11.123428,46:b3:2c:81:00:f3,244,-44 dBm,,-87 dBm,43 dB,COMP4336,,,,-44,-87,43
648,11.430711,46:b3:2c:81:00:f3,244,-45 dBm,,-87 dBm,42 dB,COMP4336,,,,-45,-87,42
655,11.737942,46:b3:2c:81:00:f3,244,-45 dBm,,-87 dBm,42 dB,COMP4336,,,,-45,-87,42
755,13.273939,46:b3:2c:81:00:f3,244,-48 dBm,,-86 dBm,38 dB,COMP4336,,,,-48,-86,38
784,13.581052,46:b3:2c:81:00:f3,244,-53 dBm,,-86 dBm,33 dB,COMP4336,,,,-53,-86,33
792,13.888365,46:b3:2c:81:00:f3,244,-49 dBm,,-86 dBm,37 dB,COMP4336,,,,-49,-86,37
793,14.19546,46:b3:2c:81:00:f3,244,-49 dBm,,-85 dBm,36 dB,COMP4336,,,,-49,-85,36
797,15.731475,46:b3:2c:81:00:f3,244,-51 dBm,,-85 dBm,34 dB,COMP4336,,,,-51,-85,34
825,16.039969,46:b3:2c:81:00:f3,244,-54 dBm,,-84 dBm,30 dB,COMP4336,,,,-54,-84,30
829,16.345988,46:b3:2c:81:00:f3,244,-61 dBm,,-84 dBm,23 dB,COMP4336,,,,-61,-84,23
849,16.653088,46:b3:2c:81:00:f3,244,-57 dBm,,-84 dBm,27 dB,COMP4336,,,,-57,-84,27
896,18.496406,46:b3:2c:81:00:f3,244,-60 dBm,,-84 dBm,24 dB,COMP4336,,,,-60,-84,24
942,18.803619,46:b3:2c:81:00:f3,244,-63 dBm,,-84 dBm,21 dB,COMP4336,,,,-63,-84,21
947,19.110696,46:b3:2c:81:00:f3,244,-62 dBm,,-85 dBm,23 dB,COMP4336,,,,-62,-85,23
980,19.418002,46:b3:2c:81:00:f3,244,-66 dBm,,-85 dBm,19 dB,COMP4336,,,,-66,-85,19
1108,20.954038,46:b3:2c:81:00:f3,244,-66 dBm,,-85 dBm,19 dB,COMP4336,,,,-66,-85,19
1115,21.261256,46:b3:2c:81:00:f3,244,-60 dBm,,-86 dBm,26 dB,COMP4336,,,,-60,-86,26
1136,21.568313,46:b3:2c:81:00:f3,244,-68 dBm,,-86 dBm,18 dB,COMP4336,,,,-68,-86,18
1139,21.875656,46:b3:2c:81:00:f3,244,-66 dBm,,-86 dBm,20 dB,COMP4336,,,,-66,-86,20
1151,23.411572,46:b3:2c:81:00:f3,244,-70 dBm,,-86 dBm,16 dB,COMP4336,,,,-70,-86,16
1189,23.71887,46:b3:2c:81:00:f3,244,-72 dBm,,-86 dBm,14 dB,COMP4336,,,,-72,-86,14
1192,24.026118,46:b3:2c:81:00:f3,244,-71 dBm,,-86 dBm,15 dB,COMP4336,,,,-71,-86,15
1219,24.333274,46:b3:2c:81:00:f3,244,-74 dBm,,-86 dBm,12 dB,COMP4336,,,,-74,-86,12
1554,26.483597,46:b3:2c:81:00:f3,244,-69 dBm,,-85 dBm,16 dB,COMP4336,,,,-69,-85,16
1565,26.790896,46:b3:2c:81:00:f3,244,-73 dBm,,-85 dBm,12 dB,COMP4336,,,,-73,-85,12
1585,27.09799,46:b3:2c:81:00:f3,244,-74 dBm,,-85 dBm,11 dB,COMP4336,,,,-74,-85,11
1587,27.712485,46:b3:2c:81:00:f3,244,-71 dBm,,-85 dBm,14 dB,COMP4336,,,,-71,-85,14
1589,28.019854,46:b3:2c:81:00:f3,244,-72 dBm,,-85 dBm,13 dB,COMP4336,,,,-72,-85,13
1602,28.326933,46:b3:2c:81:00:f3,244,-70 dBm,,-85 dBm,15 dB,COMP4336,,,,-70,-85,15
1629,28.634,46:b3:2c:81:00:f3,244,-70 dBm,,-85 dBm,15 dB,COMP4336,,,,-70,-85,15
1655,28.941314,46:b3:2c:81:00:f3,244,-71 dBm,,-85 dBm,14 dB,COMP4336,,,,-71,-85,14
1664,29.248595,46:b3:2c:81:00:f3,244,-71 dBm,,-84 dBm,13 dB,COMP4336,,,,-71,-84,13
1666,29.555703,46:b3:2c:81:00:f3,244,-71 dBm,,-84 dBm,13 dB,COMP4336,,,,-71,-84,13
1667,29.862915,46:b3:2c:81:00:f3,244,-70 dBm,,-84 dBm,14 dB,COMP4336,,,,-70,-84,14
1668,30.170023,46:b3:2c:81:00:f3,244,-70 dBm,,-85 dBm,15 dB,COMP4336,,,,-70,-85,15
1669,30.477338,46:b3:2c:81:00:f3,244,-74 dBm,,-85 dBm,11 dB,COMP4336,,,,-74,-85,11
1954,32.01338,46:b3:2c:81:00:f3,244,-71 dBm,,-86 dBm,15 dB,COMP4336,,,,-71,-86,15
1959,32.320526,46:b3:2c:81:00:f3,244,-70 dBm,,-86 dBm,16 dB,COMP4336,,,,-70,-86,16
1960,32.62762,46:b3:2c:81:00:f3,244,-73 dBm,,-86 dBm,13 dB,COMP4336,,,,-73,-86,13
1986,32.934956,46:b3:2c:81:00:f3,244,-73 dBm,,-86 dBm,13 dB,COMP4336,,,,-73,-86,13
1994,33.242059,46:b3:2c:81:00:f3,244,-73 dBm,,-86 dBm,13 dB,COMP4336,,,,-73,-86,13
2012,33.856431,46:b3:2c:81:00:f3,244,-73 dBm,,-86 dBm,13 dB,COMP4336,,,,-73,-86,13
2014,34.16369,46:b3:2c:81:00:f3,244,-73 dBm,,-86 dBm,13 dB,COMP4336,,,,-73,-86,13
2022,34.47097,46:b3:2c:81:00:f3,244,-73 dBm,,-86 dBm,13 dB,COMP4336,,,,-73,-86,13
2025,34.778178,46:b3:2c:81:00:f3,244,-73 dBm,,-86 dBm,13 dB,COMP4336,,,,-73,-86,13
2026,35.085382,46:b3:2c:81:00:f3,244,-72 dBm,,-86 dBm,14 dB,COMP4336,,,,-72,-86,14
2032,35.392604,46:b3:2c:81:00:f3,244,-72 dBm,,-86 dBm,14 dB,COMP4336,,,,-72,-86,14
2034,35.699776,46:b3:2c:81:00:f3,244,-72 dBm,,-86 dBm,14 dB,COMP4336,,,,-72,-86,14
2038,36.006988,46:b3:2c:81:00:f3,244,-73 dBm,,-85 dBm,12 dB,COMP4336,,,,-73,-85,12
2041,36.314176,46:b3:2c:81:00:f3,244,-73 dBm,,-85 dBm,12 dB,COMP4336,,,,-73,-85,12
2043,36.621288,46:b3:2c:81:00:f3,244,-73 dBm,,-85 dBm,12 dB,COMP4336,,,,-73,-85,12
2045,36.928581,46:b3:2c:81:00:f3,244,-73 dBm,,-85 dBm,12 dB,COMP4336,,,,-73,-85,12
2071,37.235705,46:b3:2c:81:00:f3,244,-74 dBm,,-86 dBm,12 dB,COMP4336,,,,-74,-86,12
2079,37.542991,46:b3:2c:81:00:f3,244,-74 dBm,,-86 dBm,12 dB,COMP4336,,,,-74,-86,12
2081,37.850191,46:b3:2c:81:00:f3,244,-74 dBm,,-86 dBm,12 dB,COMP4336,,,,-74,-86,12
2119,38.157302,46:b3:2c:81:00:f3,244,-75 dBm,,-85 dBm,10 dB,COMP4336,,,,-75,-85,10
2376,38.464608,46:b3:2c:81:00:f3,244,-75 dBm,,-85 dBm,10 dB,COMP4336,,,,-75,-85,10
2402,38.77182,46:b3:2c:81:00:f3,244,-75 dBm,,-85 dBm,10 dB,COMP4336,,,,-75,-85,10
2426,39.078925,46:b3:2c:81:00:f3,244,-74 dBm,,-85 dBm,11 dB,COMP4336,,,,-74,-85,11
2431,39.386229,46:b3:2c:81:00:f3,244,-74 dBm,,-85 dBm,11 dB,COMP4336,,,,-74,-85,11
2456,39.693414,46:b3:2c:81:00:f3,244,-74 dBm,,-85 dBm,11 dB,COMP4336,,,,-74,-85,11
2547,40.000531,46:b3:2c:81:00:f3,244,-75 dBm,,-85 dBm,10 dB,COMP4336,,,,-75,-85,10
2560,40.307823,46:b3:2c:81:00:f3,244,-75 dBm,,-86 dBm,11 dB,COMP4336,,,,-75,-86,11
2579,40.614936,46:b3:2c:81:00:f3,244,-75 dBm,,-86 dBm,11 dB,COMP4336,,,,-75,-86,11
2602,40.922142,46:b3:2c:81:00:f3,244,-75 dBm,,-86 dBm,11 dB,COMP4336,,,,-75,-86,11
2620,41.229335,46:b3:2c:81:00:f3,244,-74 dBm,,-86 dBm,12 dB,COMP4336,,,,-74,-86,12
2622,41.536628,46:b3:2c:81:00:f3,244,-74 dBm,,-86 dBm,12 dB,COMP4336,,,,-74,-86,12
2625,41.843837,46:b3:2c:81:00:f3,244,-75 dBm,,-86 dBm,11 dB,COMP4336,,,,-75,-86,11
2642,42.150956,46:b3:2c:81:00:f3,244,-70 dBm,,-86 dBm,16 dB,COMP4336,,,,-70,-86,16
2645,42.458166,46:b3:2c:81:00:f3,244,-72 dBm,,-86 dBm,14 dB,COMP4336,,,,-72,-86,14
