"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","142.250.76.110","192.168.43.221","28 dBm","28","2437MHz"
"5","0.011793100","142.250.76.110","192.168.43.221","28 dBm","28","2437MHz"
"6","0.104102100","142.250.76.110","192.168.43.221","28 dBm","28","2437MHz"
"7","0.104102100","142.250.76.110","192.168.43.221","28 dBm","28","2437MHz"
"10","0.126590600","142.250.76.110","192.168.43.221","28 dBm","28","2437MHz"
"14","1.635548900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"16","1.692589500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"17","1.703828100","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"19","1.705290400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"21","1.705771400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"22","1.706565300","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"23","1.730579900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"25","1.800164200","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"27","1.801726300","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"28","1.805812500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"29","1.805812500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"30","1.805812500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"31","1.805812500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"34","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"35","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"36","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"37","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"38","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"39","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"40","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"41","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"42","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"43","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"44","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"45","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"46","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"47","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"48","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"49","1.808221500","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"52","1.809031400","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
"57","1.809537900","142.250.66.214","192.168.43.221","27 dBm","27","2437MHz"
