"No.","Time","Source","Destination","Signal strength (dBm)","RSSI","Center frequency"
"3","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"4","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"5","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"6","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"7","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"8","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"9","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"10","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"11","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"12","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"13","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"14","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"15","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"16","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"17","0.000000000","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"19","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"20","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"21","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"22","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"23","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"24","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"25","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"26","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"27","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"28","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"29","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"30","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"31","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"32","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"33","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"34","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"35","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"36","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"37","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"38","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"39","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"40","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"41","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"42","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"43","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"44","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"45","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"46","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"47","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"48","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"49","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"50","0.004050400","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"51","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"52","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"53","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"54","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"55","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"56","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"57","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"58","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"59","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"60","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"61","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"62","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
"63","0.004454900","203.52.13.76","192.168.43.221","28 dBm","28","2437MHz"
